"San Francisco, City and County of","San Francisco, City and  of",California,837442
San Joaquin County,San Joaquin,California,704379
San Luis Obispo County,San Luis Obispo,California,276443
San Mateo County,San Mateo,California,747373
Santa Barbara County,Santa Barbara,California,435697
Santa Clara County,Santa Clara,California,1862041
Santa Cruz County,Santa Cruz,California,269419
Shasta County,Shasta,California,178980
Sierra County,Sierra,California,3047
Siskiyou County,Siskiyou,California,43799
Solano County,Solano,California,424788
Sonoma County,Sonoma,California,495025
Stanislaus County,Stanislaus,California,525491
Sutter County,Sutter,California,95350
Tehama County,Tehama,California,63057
Trinity County,Trinity,California,13448
Tulare County,Tulare,California,454143
Tuolumne County,Tuolumne,California,53874
Ventura County,Ventura,California,839620
Yolo County,Yolo,California,204593
Yuba County,Yuba,California,73340
Adams County,Adams,Colorado,469193
Alamosa County,Alamosa,Colorado,16253
Arapahoe County,Arapahoe,Colorado,607070
Archuleta County,Archuleta,Colorado,12194
Baca County,Baca,Colorado,3682
Bent County,Bent,Colorado,5688
Boulder County,Boulder,Colorado,310048
"Broomfield, City and County of","Broomfield, City and  of",Colorado,59471
Chaffee County,Chaffee,Colorado,18510
Cheyenne County,Cheyenne,Colorado,1890
Clear Creek County,Clear Creek,Colorado,9031
Conejos County,Conejos,Colorado,8277
Costilla County,Costilla,Colorado,3518
Crowley County,Crowley,Colorado,5322
Custer County,Custer,Colorado,4285
Delta County,Delta,Colorado,30483
"Denver, City and County of","Denver, City and  of",Colorado,649495
Dolores County,Dolores,Colorado,2029
Douglas County,Douglas,Colorado,305963
Eagle County,Eagle,Colorado,52460
Elbert County,Elbert,Colorado,23733
El Paso County,El Paso,Colorado,655044
Fremont County,Fremont,Colorado,46451
Garfield County,Garfield,Colorado,57302
Gilpin County,Gilpin,Colorado,5601
Grand County,Grand,Colorado,14289
Gunnison County,Gunnison,Colorado,15507
Hinsdale County,Hinsdale,Colorado,813
Huerfano County,Huerfano,Colorado,6519
Jackson County,Jackson,Colorado,1365
Jefferson County,Jefferson,Colorado,551798
Kiowa County,Kiowa,Colorado,1423
Kit Carson County,Kit Carson,Colorado,8037
Lake County,Lake,Colorado,7306
La Plata County,La Plata,Colorado,53284
Larimer County,Larimer,Colorado,315988
