Αγάθη
Βερονίκη
Βερούλα
Βέφα
Βηθλεέμ
Βησσαρία
Βιβή
Βίβιαν
Βιβιάνα
Βιβιανή
Βικεντία
Βίκη
Βικτωρία
Βίκυ
Βιολέτα
Βιργινία
Βλασία
Βούλα
Βοῶπις
Βρουτία
Γαβριέλα
Γαία
Γαϊανή
Γαλακτία
Γαλάτεια
Γαλήνη
Γαρουφαλλιά
Γαρυφαλλιά
Γενεβιέβη
Γενοβέφα
Γερακίνα
Γερασιμούλα
Γεροντίνη
Γεσθημανή
Γεωργία
Γεωργούλα
Γιάννα
Γιάννεσα
Γιαννιώ
Γιαννούλα
Γιασεμή
Γιοβάννα
Γιολάντα
Γιούλα
Γιωργία
Γιώτα
Γκόλφω
Γλαύκη
Γλυκερία
Γραμματίνα
Γρηγορία
Γωγούλα
Γωγώ
Δαμασκηνή
Δαμιανή
Δαμοφίλη
Δανάη
Δαρεία
Δάφνη
Δάφνις
Δεβόρα
Δεδουσία
Δέσποινα
Δεσποινιώ
Δεσποινούλα
Δεσπούλα
Δέσπω
Δηιδάμεια
Δήμητρα
Δημητρούλα
Δημούλλα
Δημοφίλη
Διαλεχτή
Διαμαντίνα
Διαμάντω
Διηάνειρα
Διηδάμεια
Δικαία
Διονυσία
Διονυσούλα
Διοτίμα
Διώνη
Διωξίππη
Δομινίκη
Δομιτίλλα
Δόμνα
Δονάτα
Δόξα
Δούκισσα
Δροσιά
Δροσούλα
Δρόσω
Δρυόπη
Δρυπέτη
Δωδώνη
Δώρα
Δωροθέα
Δωρούλα
Έβελιν
Εβελίνα
Εβίτα
Ειρήνη
Εκάβη
Εκάλη
Εκάτη
Ελβίρα
Ελεάνα
Ελεάννα
Ελεημονήτρια
Έλενα
Ελένη
Ελενίτσα
Ελενιώ
Ελεονώρα
Ελευθερία
Ελίζα
Ελισάβετ
Ελισώ
Έλλη
Ελληνόπη
Ελπίδα
Ελπινίκη
Έμιλυ
Έμμα
Εμμανουέλα
Έμυ
Ερασμία
Ερατώ
Έριδα
Εριέττα
Εριφύλη
Ερμιόνη
Ερμύλλη
Ερριέτα
Έρση
Ερωφίλη
Εσθήρ
Εσμεράλδα
Εσπερία
Εστία
Εύα
Ευαγγελή
Ευανθία
Ευγενία
Ευγενίτσα
Ευγενούλα
Ευγνωσία
Ευδοκία
Ευδοκίτσα
Ευδοκούλα
Ευδοξία
Ευδοξούλα
Ευδώρα
Ευελίνα
Εύη
Ευθαλία
Ευθαλίτσα
Ευθαλιώ
Ευθυμία
Ευθυμούλα
Ευλαλία
Ευλαμπία
Ευλάμπω
Ευλογία
Ευμενία
Ευμορφία
Ευνίκη
Ευπραξία
Ευπρεπία
Ευριλία
Ευρυδίκη
Ευρύκλεια
Ευρυνόμη
Ευρυπία
Ευσεβία
Ευσεβούλα
Ευσταθία
Ευσταθούλα
Ευστρατία
Ευστρατούλα
Ευτέρπη
Ευτυχία
Ευτυχίτσα
Ευτυχούλα
Ευφημία
Ευφραιμία
Ευφροσύνη
Ευψυχία
Έφη
Ζαΐρα
Ζαμπέτα
Ζαμπία
Ζαννέτα
Ζαφειρία
Ζαφείρω
Ζαχαρένια
Ζαχαρίτσα
Ζαχαρούλα
Ζαχάρω
Ζήνα
Ζηνοβία
Ζησούλα
Ζουμπουλία
Ζωγραφιά
Ζωζώ
Ζωή
Ζωίτσα
Ήβη
Ηδύλη
Ηλεάνα
Ηλέκτρα
Ηλιόχαρη
Ηλιάδα
Ηλιάνα
Ηλιοστάλακτη
Ήρα
Ηρακλίτσα
Ηρώ
Ηρωδιάδα
Ησιόνη
Ηώ
Θάλεια
Θανασία
Θεανώ
Θεή
Θέκλα
Θέλμα
Θελξιώπη
Θέμις
Θεοδοσία
Θεοδότη
Θεοδούλα
Θεοδούλη
Θεοδώρα
Θεολογία
Θεονίκη
Θεονύμφη
Θεοπίστη
Θεοπούλα
Θεοτίμη
Θεοφάνη
Θεοφανία
Θεοφανώ
Θεοφίλη
Θέτις
Θεώνη
Θεωνίτσα
Θηρεσία
Θοδώρα
Θοδωρούλα
Θωμαή
Θωμαΐς
Ιακωβίνα
Ιασώ
Ιβάνα
Ιγνατία
Ιζαμπέλλα
Ινώ
Ιοκάστη
Ιόλη
Ιουλία
Ιουλιανή
Ιουλιέττα
Ιουλίτα
Ιουλίτη
Ιουλίτσα
Ιουνία
Ιουστίνη
Ιπποδάμεια
Ιππολύτη
Ίριδα
Ίρις
Ισαβέλλα
Ισιδώρα
Ισμήνη
Ιφιγένεια
Ιώ
Ιωάννα
Ιωσηφίνα
Καθολική
Καικιλία
Καίτη
Κάκια
Καλή
Κάλια
Καλλινίκη
Καλλιόπη
Καλλιοπίτσα
Καλλιπάτειρα
Καλλιρόη
Καλλισθένη
Καλλίστη
Καλοδότη
Καλομοίρα
Καλυψώ
Κάνδιδα
Κανέλλα
Καρολίνα
Κασσάνδρα
Κασσιανή
Κασσιόπη
Κάσσυ
Κατερίνα
Κατερινάκι
Κατερινούλα
Κατέρω
Κάτια
Κατίνα
Κατινίτσα
Κέλλυ
Κερασία
Κερασίνα
Κιάρα
Κίκα
Κική
Κικίτσα
Κίτσα
Κλαίλια
Κλαίρη
Κλάρα
Κλειώ
Κλέλια
Κλεονίκη
Κλεοπάτρα
Κλημεντίνη
Κλυταιμνήστρα
Κλώντια
Κονδήλω
Κονδυλένια
Κονδυλία
Κονδύλω
Κοντήλω
Κοντυλιά
Κοραλία
Κορίνα
Κορνηλία
Κούλα
Κουλίτσα
Κρήνη
Κρηνιώ
Κρίστυ
Κρουστάλλω
Κρυσταλλία
Κρυστάλλω
Κυβέλη
Κύνθια
Κυπριανή
Κύρα
Κυριακή
Κυριακούλα
Κωνσταντία
Κωνσταντίνα
Κωνσταντινιά
Κωσταντία
Κωσταντίνα
Κωστούλα
Λαμπρινή
Λαοδίκη
Λαοκρατία
Λάουρα
Λασκαρίνα
Λαύρα
Λαυρεντία
Λελούδα
Λεμονιά
Λένα
Λενάκι
Λενιώ
Λέτα
Λευκή
Λευκοθέα
Λευκούλα
Λευτεριά
Λεώνη
Λήδα
Λητώ
Λία
Λιάνα
Λίζα
Λιζέτα
Λίνα
Λίτσα
Λόλα
Λουίζα
Λούκα
Λουκία
Λουκρητία
Λούλα
Λουλού
Λουλούδα
Λουντμίλα
Λυγερή
Λυδία
Λυσιστράτη
Λύτρια
Λωξάντρα
Λώρα
Μήδεια
Μάγδα
Μαγδαληνή
Μαγδάλω
Μαγδούλα
Μάγια
Μαίρη
Μακρίνα
Μάλαμα
Μαλαματένια
Μαλάμω
Μαλαμώ
Μαλβίνα
Μάνθα
Μάνια
Μαντώ
Μάρα
Μαργαρίτα
Μαργιωρή
Μάρθα
Μαρία
Μαριάνα
Μαριάνθη
Μαριάννα
Μαριγούλα
Μαριγώ
Μαριέτα
Μαρίκα
Μαρικάκι
Μαριλένα
Μαριλίτσα
Μαρίνα
Μαρίτσα
Μαριώ
Μαριώλα
Μαριωρή
Μαρκέλλα
Μαρκιανή
Μαρούλα
Μαρουλίτσα
Μαρουλιώ
Μαρούσα
Μαρουσώ
Μάρω
Μάτα
Ματθίλδη
Ματίλντα
Ματίνα
Ματούλα
Ματρώνα
Μαύρα
Μαυρέτα
Μάχη
Μελάνη
Μελανή
Μελανία
Μελένια
Μελετία
Μελίνα
Μελίτα
Μελπομένη
Μέλπω
Μέμα
Μένια
Μερκουρία
Μερόπη
Μερσίνη
Μεταξία
Μεταξούλα
Μηλένια
Μηλίτσα
Μήτση
Μία
Μίκα
Μιλένα
Μίμα
Μιμή
Μιμίκα
Μίνα
Μιράντα
Μιρέλλα
Μίρκα
Μισέλ
Μίτση
Μιχαέλα
Μιχαήλα
Μιχαλία
Μιχαλίτσα
Μόνα
Μόνικα
Μορφούλα
Μοσχάνθη
Μοσχούλα
Μόσχω
Μπεάτα
Μπεμπέκα
Μπετζέχρω
Μπέτυ
Μπία
Μυριάνθη
Μυρσίνη
Μυρτιά
Μυρτώ
Νάγια
Νάντια
Νάσια
Νάτα
Νάταλι
Ναταλία
Νατάσα
Ναυσικά
Νεκταρία
Νεοφύτα
Νεστορία
Νεφέλη
Νίκη
Νικηφορία
Νικολέτα
Νικολέττα
Νικολία
Νικολίνα
Νικολίτσα
Νίνα
Νινέτα
Νινή
Νιόβη
Νίτσα
Νομική
Νταίζη
Ντάλια
Ντάνα
Ντέμη
Ντιάνα
Ντίνα
Ντίτα
Ντόρα
Νυμφoδώρα
Ξανθή
Ξανθίππη
Ξανθούλα
Ξένη
Ξένια
Ξενία
Οδέττη
Όλγα
Ολγάκι
Ολυμπία
Ολυμπιοδώρα
Ορσαλία
Ορτανσία
Ούρσουλα
Οφηλία
Παγώνα
Παναγιώτα
Παναγιωτούλα
Παναγούλα
Παναΐλα
Πανδώρα
Παντούλα
Πανωραία
Παρασκευή
Παρασκευούλα
Παρθένα
Παρθενία
Παρθενόπη
Πασχαλία
Πασχαλιά
Πασχαλίνα
Πάτρα
Πατρικία
Παυλίνα
Πελαγία
Πελαγίτσα
Πενθεσιλεία
Πέπη
Περιστέρα
Πέτρα
Πετρούλα
Πηγή
Πηγίτσα
Πηγούλα
Πηνελόπη
Πηνελοπίτσα
Πιπίνα
Πιπίτσα
Πίστη
Πίτσα
Πλούμπω
Ποθητή
Πόλα
Πόλη
Πόλυ
Πολύμνια
Πολυνίκη
Πολυξένη
Πολυτίμη
Πολυχρονία
Πόπη
Ποπίτσα
Πορφυρή
Πορφυρία
Πουλουδιά
Πουλχερία
Πουλχερίτσα
Πραξιθέα
Πρίσκιλλα
Προκοπία
Προκοπίτσα
Πτολεμαία
Πωλίνα
Ραλλία
Ραλλού
Ράνια
Ραφαέλα
Ραφαηλία
Ραχήλ
Ρέα
Ρεβέκκα
Ρεγγίνα
Ρένα
Ρήνη
Ρηνιώ
Ρηνούλα
Ρία
Ρίτα
Ρίτσα
Ροδάνθη
Ροδή
Ροδιά
Ροδόπη
Ροδούλα
Ρόζα
Ροζαλία
Ροζίτα
Ρόζυ
Ρούλα
Ρουμπίνα
Ρουμπίνη
Ρωξάνη
Σαββούλα
Σαβίνα
Σαλώμη
Σαμαλτάνα
Σαμάνθα
Σαμπρίνα
Σαπφώ
Σάρα
Σαραντούλα
Σάσα
Σεβαστή
Σεβαστιανή
Σέβη
Σεμέλη
Σεραφειμία
Σεσίλ
Σεσίλια
Σημέλα
Σία
Σίλβα
Σιλβάνα
Σιλβανή
Σιμέλα
Σιμώνη
Σίσσυ
Σκιαδενή
Σμαράγδα
Σμαραγδένια
Σμαραγδή
Σμαραγδία
Σμαράγδω
Σμαρούλα
Σμαρώ
Σόνια
Σότια
Σου
Σουζάνα
Σούζυ
Σούλα
Σούλη
Σουλίτσα
Σουλτάνα
Σουράνα
Σόφη
Σοφία
Σοφιάννα
Σοφίτσα
Σοφούλα
Σπυριδούλα
Σταμάτα
Σταματέλλα
Σταματία
Σταματίνα
Στάσα
Στασινή
Στασούλα
Σταυριανή
Σταυρούλα
Στέλα
Στέλλα
Στελλίτσα
Στεργιανή
Στεφανία
Στέφη
Στρατονίκη
Στυλιανή
Σύλβα
Σύλβια
Συμέλα
Σωζάνα
Σωτηρία
Σωφρονία
Ταβιθά
Ταμάρα
Τάνια
Ταρσία
Τασία
Τατιάνα
Τατιανή
Ταϋγέτη
Τέρψη
Τερψιθέα
Τερψιχόρη
Τέτα
Τέτη
Τζανετίνα
Τζένη
Τζίνα
Τζοάννα
Τζοβάνα
Τίτα
Τίτη
Τούλα
Τριάδα
Τριανταφυλλένια
Τριαντάφυλλη
Τριανταφυλλιά
Τρισεύγενη
Τρίσω
Τρυγώνα
Τσαμπίκα
Τσιτσέκα
Τώνια
Υακίνθη
Υβόννη
Υπαπαντή
Υπατία
Υπομονή
Φαίδρα
Φαίη
Φαιναρέτη
Φανή
Φανίτσα
Φανούλα
Φανουρία
Φεβρωνία
Φένια
Φερενίκη
Φερφούθη
Φηλίκουλα
Φιλαρέτη
Φιλίππα
Φιλιππία
Φιλίτσα
Φιλιώ
Φιλοθέα
Φιλοθέη
Φιλομένα
Φιλομήλα
Φλανδρώ
Φλώρα
Φλωρεντία
Φλωρέτα
Φοίβη
Φούλα
Φράγκα
Φραγκίσκα
Φραγκίσκη
Φραντζέσκα
Φρατζέσκα
Φρειδερίκη
Φροσύνη
Φρόσω
Φρύνη
Φωτεινή
Φωτούλα
Φώτω
Φώφη
Φωφώ
Χάιδω
Χαρά
Χαραλαμπία
Χαρίκλεια
Χάρις
Χαριτίνη
Χαρούλα
Χιονία
Χλόη
Χρίστα
Χριστιάνα
Χριστίνα
Χριστοφίλη
Χριστοφόρα
Χρύσα
Χρυσάνθη
Χρυσαυγή
Χρυσαφένια
Χρυσή
Χρυσηίς
Χρυσοβαλάντω
Χρυσοπηγή
Χρυσούλα
Χρυσούλη
Χρύσπα
Χρυστάλλα
Χρύσω
Ωκυπέτη
Ωραία
Ωραιάνθη
Ωραιοζήλη
